ts_utc,rate
2021-07-01T00:00:00+00:00,0.0001
2021-07-01T08:00:00.004000+00:00,0.0001
2021-07-01T16:00:00.028000+00:00,0.0001
2021-07-02T00:00:00.002000+00:00,0.0001
2021-07-02T08:00:00.016000+00:00,0.0001
2021-07-02T16:00:00.007000+00:00,0.0001
2021-07-03T00:00:00.008000+00:00,0.0001
2021-07-03T08:00:00+00:00,0.0001
2021-07-03T16:00:00.004000+00:00,0.0001
2021-07-04T00:00:00.012000+00:00,0.0001
2021-07-04T08:00:00.002000+00:00,0.0001
2021-07-04T16:00:00.003000+00:00,0.0001
2021-07-05T00:00:00.004000+00:00,0.0001
2021-07-05T08:00:00+00:00,0.0001
2021-07-05T16:00:00.009000+00:00,0.0001
2021-07-06T00:00:00.008000+00:00,0.0001
2021-07-06T08:00:00.019000+00:00,0.0001
2021-07-06T16:00:00+00:00,0.0001
2021-07-07T00:00:00.007000+00:00,0.0001
2021-07-07T08:00:00.001000+00:00,0.0001
2021-07-07T16:00:00.008000+00:00,0.0001
2021-07-08T00:00:00.002000+00:00,0.0001
2021-07-08T08:00:00.010000+00:00,0.0001
2021-07-08T16:00:00.003000+00:00,0.0001
2021-07-09T00:00:00+00:00,6.326e-05
2021-07-09T08:00:00.006000+00:00,0.0001
2021-07-09T16:00:00+00:00,0.0001
2021-07-10T00:00:00.002000+00:00,0.0001
2021-07-10T08:00:00+00:00,0.0001
2021-07-10T16:00:00.001000+00:00,0.0001
2021-07-11T00:00:00.001000+00:00,0.0001
2021-07-11T08:00:00.025000+00:00,0.0001
2021-07-11T16:00:00.006000+00:00,0.0001
2021-07-12T00:00:00+00:00,0.0001
2021-07-12T08:00:00.021000+00:00,0.0001
2021-07-12T16:00:00+00:00,0.0001
2021-07-13T00:00:00+00:00,0.0001
2021-07-13T08:00:00.013000+00:00,0.0001
2021-07-13T16:00:00.005000+00:00,0.0001
2021-07-14T00:00:00+00:00,0.0001
2021-07-14T08:00:00+00:00,8.337e-05
2021-07-14T16:00:00.005000+00:00,1.322e-05
2021-07-15T00:00:00.005000+00:00,8.889e-05
2021-07-15T08:00:00.001000+00:00,0.0001
2021-07-15T16:00:00+00:00,0.0001
2021-07-16T00:00:00+00:00,0.0001
2021-07-16T08:00:00+00:00,0.0001
2021-07-16T16:00:00.001000+00:00,0.0001
2021-07-17T00:00:00.004000+00:00,7.946e-05
2021-07-17T08:00:00.009000+00:00,0.0001
2021-07-17T16:00:00.006000+00:00,0.0001
