entry_date,exit_date,res,pnl,r,eq,symbol,modelo
2024-12-16 00:00:00+00:00,2024-12-20,sl,-126.00071982194714,-1.008005758575577,9873.999280178054,BTCUSDT,base
2025-01-18 00:00:00+00:00,2025-02-03,sl,-124.44654785153914,-1.008276742343818,9749.552732326514,BTCUSDT,base
2025-04-23 00:00:00+00:00,2025-05-21,tp,242.57663605193227,1.9904637081257919,9992.129368378446,BTCUSDT,base
2025-05-22 00:00:00+00:00,2025-06-05,sl,-126.2990304052452,-1.0111881121550483,9865.8303379732,BTCUSDT,base
2025-07-10 00:00:00+00:00,2025-08-14,tp,244.79627648505644,1.9850029290923035,10110.626614458257,BTCUSDT,base
2025-09-17 00:00:00+00:00,2025-09-25,sl,-128.28097013714202,-1.01501895009118,9982.345644321114,BTCUSDT,base
2025-10-02 00:00:00+00:00,2025-10-10,sl,-126.60426132586271,-1.014625346281308,9855.741382995251,BTCUSDT,base
2024-12-16 00:00:00+00:00,2024-12-20,stop,-126.00071982194714,-1.008005758575577,9873.999280178054,BTCUSDT,variante
2025-01-18 00:00:00+00:00,2025-02-03,stop,-124.44654785153914,-1.008276742343818,9749.552732326514,BTCUSDT,variante
2025-04-23 00:00:00+00:00,2025-06-05,stop,148.3491862355522,1.2172799332110649,9897.901918562065,BTCUSDT,variante
2025-07-10 00:00:00+00:00,2025-08-18,stop,93.06379083884349,0.7521900427347414,9990.965709400909,BTCUSDT,variante
2025-09-17 00:00:00+00:00,2025-09-25,stop,-126.76274405941365,-1.01501895009118,9864.202965341496,BTCUSDT,variante
2025-10-02 00:00:00+00:00,2025-10-10,stop,-125.105879368734,-1.0146253462813077,9739.097085972762,BTCUSDT,variante
2024-11-28 00:00:00+00:00,2024-12-20,sl,-125.71079953278385,-1.0056863962622709,9874.289200467216,ETHUSDT,base
2025-06-11 00:00:00+00:00,2025-06-13,sl,-124.17759555315175,-1.0060681272918448,9750.111604914064,ETHUSDT,base
2025-07-10 00:00:00+00:00,2025-07-16,tp,242.79607941009797,1.9921501558011177,9992.907684324162,ETHUSDT,base
2025-07-17 00:00:00+00:00,2025-08-09,tp,248.79754008731615,1.991792963144082,10241.705224411478,ETHUSDT,base
2025-08-10 00:00:00+00:00,2025-10-10,sl,-128.8654545302485,-1.0065937396682185,10112.83976988123,ETHUSDT,base
2024-11-28 00:00:00+00:00,2024-12-20,stop,-125.71079953278385,-1.0056863962622709,9874.289200467216,ETHUSDT,variante
2025-06-11 00:00:00+00:00,2025-06-13,stop,-124.17759555315175,-1.0060681272918448,9750.111604914064,ETHUSDT,variante
2025-07-10 00:00:00+00:00,2025-08-01,stop,259.68611251324177,2.130733456485645,10009.797717427306,ETHUSDT,variante
2025-08-09 00:00:00+00:00,2025-09-01,stop,61.67012399122491,0.49287808391057253,10071.467841418531,ETHUSDT,variante
2025-10-07 00:00:00+00:00,2025-10-10,stop,-126.9243827569332,-1.0081897475556558,9944.543458661597,ETHUSDT,variante
2024-12-04 00:00:00+00:00,2024-12-20,sl,-125.72479930258989,-1.0057983944207192,9874.27520069741,BNBUSDT,base
2025-05-10 00:00:00+00:00,2025-06-21,sl,-124.88311273255107,-1.01178555545003,9749.39208796486,BNBUSDT,base
2025-07-10 00:00:00+00:00,2025-07-18,tp,241.58310118477183,1.9823439164621899,9990.97518914963,BNBUSDT,base
